[2025-03-30 02:51:44,625: INFO: main: started logging]
[2025-03-30 17:06:06,703: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-30 17:06:06,705: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-30 17:07:20,040: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-30 17:07:20,046: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-30 17:07:20,050: INFO: common: created directory at: artifacts]
[2025-03-30 17:07:20,051: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-30 17:07:23,520: INFO: 227420655: File is downloaded]
[2025-03-30 17:19:36,553: INFO: main: >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Ingestion started <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<]
[2025-03-30 17:19:36,558: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-30 17:19:36,559: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-30 17:19:36,560: INFO: common: created directory at: artifacts]
[2025-03-30 17:19:36,560: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-30 17:19:38,939: INFO: data_ingestion: File is downloaded]
[2025-03-30 17:19:39,121: INFO: main: >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Ingestion completed <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<]
[2025-03-30 17:19:55,615: INFO: main: >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Ingestion started <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<]
[2025-03-30 17:19:55,616: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-30 17:19:55,619: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-30 17:19:55,619: INFO: common: created directory at: artifacts]
[2025-03-30 17:19:55,619: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-30 17:19:55,619: INFO: data_ingestion: File already exits]
[2025-03-30 17:19:55,765: INFO: main: >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Ingestion completed <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<]
